entityId,grade,relationIds,subDepartmentIds,coveredAmount,copayPercent,roomType,roomPrice,preHospitalizationDays,postHospitalizationDays,inclusions,exclusions,remarks,note,additionalProperties,isActive
1006125,2.5 Lac plan,,705579,0,0.0,Upto Room Rent Amount,8000.0,30,60,"Bariatric surgery covered if BMI >= 40, or BMI >= 35 with co-morbidities#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#Room rent is capped at INR 8,000 per day",No specific exclusions applicable beyond standard policy terms and conditions,"Approval subject to policy terms and conditions#Bariatric surgery covered if BMI >= 40, or BMI >= 35 with co-morbidities#Room rent is capped at INR 8,000 per day#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#No copay is applicable on this treatment#Copay for Parents/Parents-in-law: 0%#Post-Hospitalization days for Parents: 60 days",No Intimation Copay applicable for this treatment,{},TRUE
1006125,2.5 Lac plan,,705572#705711,0,0.0,Upto Room Rent Amount,8000.0,30,60,"Cobalation covered up to conventional method charges only#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#Room rent is capped at INR 8,000 per day",Harmonic scalpel charges,"Cobalation covered up to conventional method charges only#Room rent is capped at INR 8,000 per day#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#No copay is applicable on this treatment#Copay for Parents/Parents-in-law: 0%#Post-Hospitalization days for Parents: 60 days",No Intimation Copay applicable for this treatment,{},TRUE
1006125,2.5 Lac plan,,705715#705685#705647,0,0.0,Upto Room Rent Amount,8000.0,30,60,"Femto/SMILE/Contura Lasik covered up to conventional charges only#Lasik treatment (+ / - 6 & above) is covered#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#Room rent is capped at INR 8,000 per day",No specific exclusions applicable beyond standard policy terms and conditions,"Femto/SMILE/Contura Lasik covered up to conventional charges only#Lasik treatment (+ / - 6 & above) is covered#Room rent is capped at INR 8,000 per day#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#No copay is applicable on this treatment#Copay for Parents/Parents-in-law: 0%#Post-Hospitalization days for Parents: 60 days",No Intimation Copay applicable for this treatment,{},TRUE
1006125,2.5 Lac plan,,705607#705699#705729#705730,0,0.0,Upto Room Rent Amount,8000.0,30,60,"Glue therapy covered up to conventional method only; Radiofrequency ablation (RFA) covered only if policy covers it#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#Room rent is capped at INR 8,000 per day","Laser charges, instrument charges","Glue therapy covered up to conventional method only; Radiofrequency ablation (RFA) covered only if policy covers it#Room rent is capped at INR 8,000 per day#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#No copay is applicable on this treatment#Copay for Parents/Parents-in-law: 0%#Post-Hospitalization days for Parents: 60 days",No Intimation Copay applicable for this treatment,{},TRUE
1006125,2.5 Lac plan,,705694,0,0.0,Upto Room Rent Amount,8000.0,30,60,"TPA may cover up to conventional method (up to PCNL cost)#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#Room rent is capped at INR 8,000 per day",Laser charges,"TPA may cover up to conventional method (up to PCNL cost)#Room rent is capped at INR 8,000 per day#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#No copay is applicable on this treatment#Copay for Parents/Parents-in-law: 0%#Post-Hospitalization days for Parents: 60 days",No Intimation Copay applicable for this treatment,{},TRUE
1006125,2.5 Lac plan,,705695,0,0.0,Upto Room Rent Amount,8000.0,30,60,"TPA may cover up to conventional method (up to PCNL cost)#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#Room rent is capped at INR 8,000 per day","Ureteroscope, laser charges","TPA may cover up to conventional method (up to PCNL cost)#Room rent is capped at INR 8,000 per day#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#No copay is applicable on this treatment#Copay for Parents/Parents-in-law: 0%#Post-Hospitalization days for Parents: 60 days",No Intimation Copay applicable for this treatment,{},TRUE
1006125,2.5 Lac plan,,705628#705662#705646#705613#705697#705698#705666#705677#705783#705789#705774#705817#705769#705788#705614#705710#705765#705590#705732#705790#705801#705773#705726#705581#705725#705672#705661#705619#705570#705676#705663#705728#705600#705782#705692#705708#705623#705701#705702#705731#705641#705687#705580#705688#705707#705603#705633#705767#705691#705803#705642#705654#705657#705618#705583#705719#705651#705720#705643#705772#705816#705682#705680#705709#705578#705815#705705#705584#705655#705780#705795#715630#705802#705723#705574#705615#705660#705608#705811#705684#711759#705721#705598#705616#705622#705781#705634#705794#705669#705693#705722#705766#705586#705792#705791#705793#705674#705653#705675#705681#705595#705597#705689#705582#705813#705602#705599#705667#705670#705786#705664,0,0.0,Upto Room Rent Amount,8000.0,30,60,"Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#Room rent is capped at INR 8,000 per day",No specific exclusions applicable beyond standard policy terms and conditions,"Approval will be done subject to policy terms and conditions#Room rent is capped at INR 8,000 per day#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#No copay is applicable on this treatment#Copay for Parents/Parents-in-law: 0%#Post-Hospitalization days for Parents: 60 days",No Intimation Copay applicable for this treatment,{},TRUE
1006125,2.5 Lac plan,,705807#705571#705704#705770#705631#705644#705806#705703#705617#705700#705814#705810#705779#705798#705577#705645#705576#705575#705671#705706,0,0.0,Upto Room Rent Amount,8000.0,30,60,"Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#Room rent is capped at INR 8,000 per day","C-Arm charges, bone saws, drills, instrument charges","Robotic surgery subject to policy terms and conditions#Room rent is capped at INR 8,000 per day#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#No copay is applicable on this treatment#Copay for Parents/Parents-in-law: 0%#Post-Hospitalization days for Parents: 60 days",No Intimation Copay applicable for this treatment,{},TRUE
1006125,2.5 Lac plan,,705718#705659,0,0.0,Upto Room Rent Amount,8000.0,30,60,"Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#Room rent is capped at INR 8,000 per day","Cobalator charges, instrument charges","Room rent is capped at INR 8,000 per day#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#No copay is applicable on this treatment#Copay for Parents/Parents-in-law: 0%#Post-Hospitalization days for Parents: 60 days",No Intimation Copay applicable for this treatment,{},TRUE
1006125,2.5 Lac plan,,705777#705587#705624#705650#705717#705588#705665#705648#705778#705635#705589#705636#705805#705768#705796#705637#705804#705776#705775,0,0.0,Upto Room Rent Amount,8000.0,30,60,"Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#Room rent is capped at INR 8,000 per day","Cosmetic procedures, plastic surgery, or any elective medical intervention solely to alter/enhance physical appearance","Room rent is capped at INR 8,000 per day#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#No copay is applicable on this treatment#Copay for Parents/Parents-in-law: 0%#Post-Hospitalization days for Parents: 60 days",No Intimation Copay applicable for this treatment,{},TRUE
1006125,2.5 Lac plan,,705649,0,0.0,Upto Room Rent Amount,8000.0,30,60,"Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#Room rent is capped at INR 8,000 per day","Cosmetic procedures, plastic surgery, or any elective medical intervention solely to alter/enhance physical appearance","Room rent is capped at INR 8,000 per day#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#No copay is applicable on this treatment#Copay for Parents/Parents-in-law: 0%#Post-Hospitalization days for Parents: 60 days#Approval will be done subject to policy terms and conditions",No Intimation Copay applicable for this treatment,{},TRUE
1006125,2.5 Lac plan,,705573,0,0.0,Upto Room Rent Amount,8000.0,30,60,"Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#Room rent is capped at INR 8,000 per day",Instrument charges,"Room rent is capped at INR 8,000 per day#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#No copay is applicable on this treatment#Copay for Parents/Parents-in-law: 0%#Post-Hospitalization days for Parents: 60 days",No Intimation Copay applicable for this treatment,{},TRUE
1006125,2.5 Lac plan,,705632,0,0.0,Upto Room Rent Amount,8000.0,30,60,"Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#Room rent is capped at INR 8,000 per day",Instrument charges,"Room rent is capped at INR 8,000 per day#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#No copay is applicable on this treatment#Copay for Parents/Parents-in-law: 0%#Post-Hospitalization days for Parents: 60 days#Approval will be done subject to policy terms and conditions",No Intimation Copay applicable for this treatment,{},TRUE
1006125,2.5 Lac plan,,705629#705630,0,0.0,Upto Room Rent Amount,8000.0,30,60,"Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#Room rent is capped at INR 8,000 per day","Laser charges, stapler instrument charges","Approval will be done subject to policy terms and conditions#Room rent is capped at INR 8,000 per day#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#No copay is applicable on this treatment#Copay for Parents/Parents-in-law: 0%#Post-Hospitalization days for Parents: 60 days",No Intimation Copay applicable for this treatment,{},TRUE
1006125,2.5 Lac plan,,705808,0,0.0,Upto Room Rent Amount,8000.0,30,60,"Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#Room rent is capped at INR 8,000 per day","Laser charges, stapler instrument charges","Room rent is capped at INR 8,000 per day#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#No copay is applicable on this treatment#Copay for Parents/Parents-in-law: 0%#Post-Hospitalization days for Parents: 60 days",No Intimation Copay applicable for this treatment,{},TRUE
1006125,2.5 Lac plan,,705605#705678#705604#705686#705593#705594,0,0.0,Upto Room Rent Amount,8000.0,30,60,"Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#Room rent is capped at INR 8,000 per day","Non-medical items, excluded consumables, room upgrade charges (if not eligible), policy exclusions, expenses beyond sum insured","Room rent is capped at INR 8,000 per day#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#No copay is applicable on this treatment#Copay for Parents/Parents-in-law: 0%#Post-Hospitalization days for Parents: 60 days",No Intimation Copay applicable for this treatment,{},TRUE
1006125,2.5 Lac plan,,705640#705658#705639#705626#705716#705625#705627,0,0.0,Upto Room Rent Amount,8000.0,30,60,"Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#Room rent is capped at INR 8,000 per day",Not covered under policy,"Room rent is capped at INR 8,000 per day#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#No copay is applicable on this treatment#Copay for Parents/Parents-in-law: 0%#Post-Hospitalization days for Parents: 60 days",No Intimation Copay applicable for this treatment,{},TRUE
1006125,2.5 Lac plan,,705809#705800#705724#705585#705797#705784#705601#705652#705592#705771#705799#705668#705690#705673#705656,0,0.0,Upto Room Rent Amount,8000.0,30,60,"Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#Room rent is capped at INR 8,000 per day","Oral chemotherapy tablets (OPD), non-medical items, excluded consumables, room upgrade charges (if not eligible)#expenses beyond sum insured, policy exclusions","Room rent is capped at INR 8,000 per day#Treatment is covered 100% upto the Sum Insured of the policy#Pre-Hospitalization expenses covered for 30 days only and Post-Hospitalization expenses covered for 60 days only#No copay is applicable on this treatment#Copay for Parents/Parents-in-law: 0%#Post-Hospitalization days for Parents: 60 days",No Intimation Copay applicable for this treatment,{},TRUE
